,Title,Price,Kilometers Driven,Fuel Type,Location,Year,Make,Model,Variant,Car Age,Trim Level,Power Indicator
0,2019 BMW 5 Series 530d M Sport [2013-2017],5800000.0,13700.0,Diesel,Banjara Hills Hyderabad,2019,BMW,5,Series 530d M Sport,5,Sport,Standard
1,2019 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],7000000.0,63818.0,Diesel,Jubilee Hills,2019,Mercedes-Benz,GLE,300d 4MATIC LWB,5,LWB,4MATIC
2,2017 Mercedes-Benz GLE 250 d,3900000.0,106207.0,Diesel,Jubilee Hills,2017,Mercedes-Benz,GLE,250 d,7,Base,Standard
3,2018 Hyundai Eon Sportz,339000.0,18286.0,Petrol,Madhapur,2018,Hyundai,Eon,Sportz,6,Sport,Standard
4,2019 BMW 6 Series GT 620d Luxury Line [2019-2019],5400000.0,69590.0,Diesel,Jubilee Hills,2019,BMW,6,Series GT 620d Luxury Line,5,Luxury,GT
5,2018 Audi Q3 30 TDI Premium FWD,2500000.0,41560.0,Diesel,Madhapur,2018,Audi,Q3,30 TDI Premium FWD,6,Base,Standard
6,2014 Toyota Innova 2.5 VX 7 STR BS-IV,1020000.0,219000.0,Diesel,Manikonda,2014,Toyota,Innova,2.5 VX 7 STR BS-IV,10,Base,Standard
7,2021 Volkswagen T-Roc 1.5 TSI,1800000.0,32000.0,Petrol,Hyderabad,2021,Volkswagen,T-Roc,1.5 TSI,3,Base,Standard
8,2020 Maruti Suzuki Alto 800 LXi (O),350000.0,67551.0,Petrol,Khairatabad H O,2020,Maruti,Suzuki,Alto 800 LXi (O),4,Base,Standard
9,2019 Renault Kwid RXL,350000.0,32715.0,Petrol,Khairatabad H O,2019,Renault,Kwid,RXL,5,Base,Standard
10,2017 Maruti Suzuki Alto 800 Vxi,330000.0,46488.0,Petrol,Khairatabad H O,2017,Maruti,Suzuki,Alto 800 Vxi,7,Base,Standard
11,2018 Audi Q3 30 TDI Premium FWD,2700000.0,42224.0,Diesel,Madhapur,2018,Audi,Q3,30 TDI Premium FWD,6,Base,Standard
12,2021 Mercedes-Benz GLS 400d 4MATIC [2020-2023],12500000.0,45031.0,Diesel,Madhapur,2021,Mercedes-Benz,GLS,400d 4MATIC,3,Base,4MATIC
13,2016 Skoda Octavia Style TDI AT,1500000.0,74035.0,Diesel,Madhapur,2016,Skoda,Octavia,Style TDI AT,8,Base,Standard
14,2013 Ford EcoSport Titanium 1.5 TDCi,531020.0,68381.0,Diesel,L B Nagar,2013,Ford,EcoSport,Titanium 1.5 TDCi,11,Base,Standard
15,2017 Tata Tiago Revotron XZA [2017-2019],461000.0,57920.0,Petrol,L B Nagar,2017,Tata,Tiago,Revotron XZA,7,Base,Standard
16,2018 Honda Amaze 1.5 V MT Diesel [2018-2020],737000.0,33476.0,Diesel,L B Nagar,2018,Honda,Amaze,1.5 V MT Diesel,6,Base,Standard
17,2021 Tata Tiago Revotron XZ Plus Dual Tone,619000.0,33436.0,Petrol,Hankimpet,2021,Tata,Tiago,Revotron XZ Plus Dual Tone,3,Base,Standard
18,2015 Maruti Suzuki Swift VXi,533472.0,34717.0,Petrol,L B Nagar,2015,Maruti,Suzuki,Swift VXi,9,Base,Standard
19,2018 Tata Tiago Revotron XT [2016-2019],436000.0,75958.0,Petrol,Bakaram,2018,Tata,Tiago,Revotron XT,6,Base,Standard
20,2021 Volkswagen Polo Comfortline 1.0L TSI,818000.0,28640.0,Petrol,L B Nagar,2021,Volkswagen,Polo,Comfortline 1.0L TSI,3,Base,Standard
21,2020 Toyota Vellfire Hybrid,11000000.0,13136.0,Hybrid,Madhapur,2020,Toyota,Vellfire,Hybrid,4,Base,Standard
22,2023 Hyundai Verna SX (O)1.5 MPi,1490000.0,14470.0,Petrol,Khairatabad H O,2023,Hyundai,Verna,SX (O)1.5 MPi,1,Base,Standard
23,2020 Kia Sonet GTX Plus 1.5 [2020-2021],1350000.0,60702.0,Diesel,Madhapur,2020,Kia,Sonet,GTX Plus 1.5,4,Base,GT
24,2020 Tata Tiago Revotron XE [2016-2019],470000.0,57810.0,Petrol,Hankimpet,2020,Tata,Tiago,Revotron XE,4,Base,Standard
25,2016 Maruti Suzuki Swift VXi [2014-2017],540000.0,70763.0,Petrol,L B Nagar,2016,Maruti,Suzuki,Swift VXi,8,Base,Standard
26,2019 Skoda Octavia 1.8 TSI L&K,1950000.0,57537.0,Petrol,Madhapur,2019,Skoda,Octavia,1.8 TSI L&K,5,Base,Standard
27,2021 Tata Altroz XE Petrol [2020-2023],577000.0,46658.0,Petrol,Bakaram,2021,Tata,Altroz,XE Petrol,3,Base,Standard
28,2014 Mercedes-Benz CLA 200 CDI Style,2000000.0,60389.0,Diesel,Madhapur,2014,Mercedes-Benz,CLA,200 CDI Style,10,Base,Standard
29,2015 Mercedes-Benz CLS 250 CDI,2750000.0,95000.0,Diesel,Attapur,2015,Mercedes-Benz,CLS,250 CDI,9,Base,Standard
30,2022 Land Rover Discovery Sport SE R-Dynamic,7500000.0,8800.0,Diesel,Attapur,2022,Land,Rover,Discovery Sport SE R-Dynamic,2,Sport,Standard
31,2018 BMW 7 Series 730Ld,7750000.0,24200.0,Diesel,Attapur,2018,BMW,7,Series 730Ld,6,Base,Standard
32,2022 Land Rover Discovery Sport SE R-Dynamic,7500000.0,8800.0,Diesel,Attapur,2022,Land,Rover,Discovery Sport SE R-Dynamic,2,Sport,Standard
33,2015 Mercedes-Benz CLS 250 CDI,2750000.0,95000.0,Diesel,Attapur,2015,Mercedes-Benz,CLS,250 CDI,9,Base,Standard
34,2014 Hyundai Santa Fe 4 WD (AT),1150000.0,109296.0,Diesel,Madhapur,2014,Hyundai,Santa,Fe 4 WD (AT),10,Base,Standard
35,2012 Audi A4 2.0 TDI (143 bhp),800000.0,39876.0,Diesel,Madhapur,2012,Audi,A4,2.0 TDI (143 bhp),12,Base,Standard
36,2017 Ford EcoSport Titanium 1.5L Ti-VCT AT,759395.0,79181.0,Petrol,Bakaram,2017,Ford,EcoSport,Titanium 1.5L Ti-VCT AT,7,Base,Standard
37,2019 Tata Tiago Revotron XZ,544000.0,26907.0,Petrol,Hankimpet,2019,Tata,Tiago,Revotron XZ,5,Base,Standard
38,2018 Tata Tiago Revotron XZ,470000.0,63258.0,Petrol,Bakaram,2018,Tata,Tiago,Revotron XZ,6,Base,Standard
39,2018 Audi Q5 35 TDI Technology,3500000.0,80160.0,Diesel,Jubilee Hills,2018,Audi,Q5,35 TDI Technology,6,Base,Standard
40,2022 Maruti Suzuki Swift ZXi Plus AMT Dual Tone [2021-2023],824000.0,31707.0,Petrol,L B Nagar,2022,Maruti,Suzuki,Swift ZXi Plus AMT Dual Tone,2,Base,Standard
41,2021 Audi RS5 Sportback,8500000.0,15965.0,Petrol,Jubilee Hills,2021,Audi,RS5,Sportback,3,Sport,Standard
42,2018 Audi Q7 45 TDI Technology Pack,4900000.0,81332.0,Diesel,Madhapur,2018,Audi,Q7,45 TDI Technology Pack,6,Base,Standard
43,2013 Mercedes-Benz E-Class E220 CDI Blue Efficiency,1400000.0,46700.0,Diesel,Attapur,2013,Mercedes-Benz,E-Class,E220 CDI Blue Efficiency,11,Base,Standard
44,2018 Hyundai Verna 1.6 VTVT SX,828800.0,32982.0,Petrol,L B Nagar,2018,Hyundai,Verna,1.6 VTVT SX,6,Base,Standard
45,2014 Maruti Suzuki Swift VXi,456000.0,70724.0,Petrol,L B Nagar,2014,Maruti,Suzuki,Swift VXi,10,Base,Standard
46,2015 Maruti Suzuki Wagon R 1.0 VXI,404000.0,24867.0,Petrol,L B Nagar,2015,Maruti,Suzuki,Wagon R 1.0 VXI,9,Base,Standard
47,2018 Tata Tiago Revotron XZ,470000.0,63258.0,Petrol,Hankimpet,2018,Tata,Tiago,Revotron XZ,6,Base,Standard
48,2018 Honda Amaze 1.2 VX i-VTEC,633000.0,43190.0,Petrol,L B Nagar,2018,Honda,Amaze,1.2 VX i-VTEC,6,Base,Standard
49,2019 Tata Tiago Revotron XZ,482000.0,71487.0,Petrol,Hankimpet,2019,Tata,Tiago,Revotron XZ,5,Base,Standard
50,2022 Tata Tiago Revotron XZA Plus,709000.0,17374.0,Petrol,L B Nagar,2022,Tata,Tiago,Revotron XZA Plus,2,Base,Standard
51,2021 Tata Tiago Revotron XZA Plus,695000.0,8753.0,Petrol,L B Nagar,2021,Tata,Tiago,Revotron XZA Plus,3,Base,Standard
54,2021 Tata Tiago Revotron XZA Plus,688000.0,31090.0,Petrol,L B Nagar,2021,Tata,Tiago,Revotron XZA Plus,3,Base,Standard
55,2016 Honda Amaze 1.2 S i-VTEC,472800.0,47097.0,Petrol,L B Nagar,2016,Honda,Amaze,1.2 S i-VTEC,8,Base,Standard
56,2022 Tata Altroz XZA Plus Petrol Dark Edtion [2022-2023],841000.0,28466.0,Petrol,Bakaram,2022,Tata,Altroz,XZA Plus Petrol Dark Edtion,2,Base,Standard
57,2015 Maruti Suzuki Swift VXi,533042.0,33371.0,Petrol,L B Nagar,2015,Maruti,Suzuki,Swift VXi,9,Base,Standard
58,2015 Hyundai Verna Fluidic 1.6 VTVT SX Opt,623000.0,74740.0,Petrol,L B Nagar,2015,Hyundai,Verna,Fluidic 1.6 VTVT SX Opt,9,Base,Standard
59,2020 Tata Altroz XZ Petrol [2020-2023],678000.0,52295.0,Petrol,Hankimpet,2020,Tata,Altroz,XZ Petrol,4,Base,Standard
60,2023 Tata Tiago Revotron XZA Plus,749000.0,10526.0,Petrol,L B Nagar,2023,Tata,Tiago,Revotron XZA Plus,1,Base,Standard
61,2021 Tata Altroz XZ Petrol [2020-2023],763000.0,37608.0,Petrol,Hankimpet,2021,Tata,Altroz,XZ Petrol,3,Base,Standard
62,2013 Maruti Suzuki Alto 800 Vxi,248000.0,46661.0,Petrol,L B Nagar,2013,Maruti,Suzuki,Alto 800 Vxi,11,Base,Standard
63,2015 Audi Q7 45 TDI Premium Plus,3900000.0,91648.0,Diesel,Madhapur,2015,Audi,Q7,45 TDI Premium Plus,9,Base,Standard
64,2017 Honda Jazz V AT Petrol,680000.0,66578.0,Petrol,Madhapur,2017,Honda,Jazz,V AT Petrol,7,Base,Standard
65,2010 Toyota Land Cruiser Prado VX L,4500000.0,64203.0,Diesel,Attapur,2010,Toyota,Land,Cruiser Prado VX L,14,Base,Standard
67,2017 Mahindra XUV500 W10 AT,1350000.0,33584.0,Diesel,Madhapur,2017,Mahindra,XUV500,W10 AT,7,Base,Standard
68,2012 Audi A6 2.0 TDI Premium,1600000.0,63742.0,Diesel,Madhapur,2012,Audi,A6,2.0 TDI Premium,12,Base,Standard
70,2020 Volvo S90 D4 Inscription,4500000.0,56323.0,Diesel,Madhapur,2020,Volvo,S90,D4 Inscription,4,Base,Standard
71,2019 Mercedes-Benz C-Coupe 43 AMG 4MATIC,5950000.0,41587.0,Petrol,Madhapur,2019,Mercedes-Benz,C-Coupe,43 AMG 4MATIC,5,Base,4MATIC
72,2008 Mercedes-Benz E-Class 230 Elegance AT,1200000.0,29200.0,Petrol,Attapur,2008,Mercedes-Benz,E-Class,230 Elegance AT,16,Base,Standard
73,2022 Hyundai Venue SX 1.5 CRDi,1225000.0,22241.0,Diesel,Attapur,2022,Hyundai,Venue,SX 1.5 CRDi,2,Base,Standard
74,2012 Honda Brio S MT,390000.0,45781.0,Petrol,Madhapur,2012,Honda,Brio,S MT,12,Base,Standard
76,2014 Audi A6 2.0 TDI Premium,1600000.0,34029.0,Diesel,Madhapur,2014,Audi,A6,2.0 TDI Premium,10,Base,Standard
77,2018 Audi Q3 30 TDI Premium FWD,2450000.0,49191.0,Diesel,Madhapur,2018,Audi,Q3,30 TDI Premium FWD,6,Base,Standard
79,2014 Mercedes-Benz GL 350 CDI,3650000.0,72600.0,Diesel,Attapur,2014,Mercedes-Benz,GL,350 CDI,10,Base,Standard
80,2014 Volkswagen Polo Highline1.2L (D),320000.0,171173.0,Diesel,Khairatabad H O,2014,Volkswagen,Polo,Highline1.2L (D),10,Base,Standard
81,2020 Hyundai Aura SX 1.2 (O) Petrol,680000.0,47866.0,Petrol,Khairatabad H O,2020,Hyundai,Aura,SX 1.2 (O) Petrol,4,Base,Standard
83,2018 Jaguar XE Portfolio,2900000.0,86705.0,Petrol,Madhapur,2018,Jaguar,XE,Portfolio,6,Base,Standard
84,2012 Mercedes-Benz E-Class E220 CDI Blue Efficiency,1150000.0,77200.0,Diesel,Attapur,2012,Mercedes-Benz,E-Class,E220 CDI Blue Efficiency,12,Base,Standard
86,2022 Toyota Innova Crysta ZX 2.4 AT 7 STR,3350000.0,29200.0,Diesel,Attapur,2022,Toyota,Innova,Crysta ZX 2.4 AT 7 STR,2,Base,Standard
87,2022 Toyota Innova Crysta ZX 2.4 7 STR,3000000.0,7000.0,Diesel,Attapur,2022,Toyota,Innova,Crysta ZX 2.4 7 STR,2,Base,Standard
88,2022 Toyota Innova Crysta GX 2.4 8 STR,2300000.0,47600.0,Diesel,Attapur,2022,Toyota,Innova,Crysta GX 2.4 8 STR,2,Base,Standard
89,2021 Mahindra Thar LX Hard Top Diesel MT 4WD,1650000.0,56400.0,Diesel,Attapur,2021,Mahindra,Thar,LX Hard Top Diesel MT 4WD,3,Base,Standard
90,2021 Toyota Innova Crysta 2.4 G 8 STR [2016-2017],2150000.0,55900.0,Diesel,Attapur,2021,Toyota,Innova,Crysta 2.4 G 8 STR,3,Base,Standard
91,2021 Mahindra Thar LX Convertible Diesel AT,1650000.0,16100.0,Diesel,Attapur,2021,Mahindra,Thar,LX Convertible Diesel AT,3,Base,Standard
92,2017 Hyundai Creta SX Plus 1.6 AT CRDI,1100000.0,87400.0,Diesel,Attapur,2017,Hyundai,Creta,SX Plus 1.6 AT CRDI,7,Base,Standard
93,2019 BMW 5 Series 530d M Sport [2013-2017],6000000.0,16000.0,Diesel,Attapur,2019,BMW,5,Series 530d M Sport,5,Sport,Standard
94,2021 Toyota Innova Crysta 2.4 VX 8 STR [2016-2020],2400000.0,58200.0,Diesel,Attapur,2021,Toyota,Innova,Crysta 2.4 VX 8 STR,3,Base,Standard
95,2019 Maruti Suzuki Ertiga ZDi Plus 1.5 Diesel,1300000.0,63900.0,Diesel,Attapur,2019,Maruti,Suzuki,Ertiga ZDi Plus 1.5 Diesel,5,Base,Standard
96,2021 Mahindra Thar LX Hard Top Diesel MT 4WD,1700000.0,28800.0,Diesel,Attapur,2021,Mahindra,Thar,LX Hard Top Diesel MT 4WD,3,Base,Standard
97,2015 Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],540000.0,46509.0,Petrol,Khairatabad H O,2015,Hyundai,Grand,i10 Asta AT 1.2 Kappa VTVT (O),9,Base,Standard
99,2017 Mercedes-Benz GLS 350 d,4900000.0,86832.0,Diesel,Madhapur,2017,Mercedes-Benz,GLS,350 d,7,Base,Standard
100,2015 Audi Q5 3.0 TDI quattro Premium Plus,2500000.0,115479.0,Diesel,Madhapur,2015,Audi,Q5,3.0 TDI quattro Premium Plus,9,Base,Standard
101,2017 Jaguar XE Portfolio Diesel,2100000.0,120000.0,Diesel,Madhapur,2017,Jaguar,XE,Portfolio Diesel,7,Base,Standard
102,2020 Kia Seltos HTE 1.5 Diesel,1650000.0,81382.0,Diesel,Madhapur,2020,Kia,Seltos,HTE 1.5 Diesel,4,Base,Standard
103,2015 BMW 7 Series 730Ld,4000000.0,21529.0,Diesel,Madhapur,2015,BMW,7,Series 730Ld,9,Base,Standard
104,2013 Hyundai Verna Fluidic 1.6 CRDi SX,451000.0,101500.0,Diesel,Khairatabad H O,2013,Hyundai,Verna,Fluidic 1.6 CRDi SX,11,Base,Standard
105,2015 Maruti Suzuki Ritz Lxi BS-IV,360000.0,70135.0,Petrol,Khairatabad H O,2015,Maruti,Suzuki,Ritz Lxi BS-IV,9,Base,Standard
106,2019 Mercedes-Benz E-Class E 220 d Avantgarde,5200000.0,44473.0,Diesel,Madhapur,2019,Mercedes-Benz,E-Class,E 220 d Avantgarde,5,Base,Standard
107,2015 Mercedes-Benz M-Class ML 250 CDI,3300000.0,42715.0,Diesel,Madhapur,2015,Mercedes-Benz,M-Class,ML 250 CDI,9,Base,Standard
108,2018 Maruti Suzuki Swift VXi [2014-2017],550000.0,91176.0,Petrol,Khairatabad H O,2018,Maruti,Suzuki,Swift VXi,6,Base,Standard
109,2023 Mercedes-Benz EQB 350 4MATIC,6900000.0,7000.0,Electric,Madhapur,2023,Mercedes-Benz,EQB,350 4MATIC,1,Base,4MATIC
110,2023 Mercedes-Benz EQB 350 4MATIC,6100000.0,3500.0,Electric,Madhapur,2023,Mercedes-Benz,EQB,350 4MATIC,1,Base,4MATIC
111,2023 BYD Atto 3 Extended Range,3100000.0,14862.0,Electric,Jubilee Hills,2023,BYD,Atto,3 Extended Range,1,Base,Standard
112,2020 Hyundai i20 Asta 1.2 MT [2020-2023],680000.0,90354.0,Petrol,Khairatabad H O,2020,Hyundai,i20,Asta 1.2 MT,4,Base,Standard
113,2017 Maruti Suzuki Alto 800 Lxi,280000.0,88343.0,Petrol,Khairatabad H O,2017,Maruti,Suzuki,Alto 800 Lxi,7,Base,Standard
114,2012 Mercedes-Benz C-Class 250 CDI,1350000.0,62451.0,Diesel,Madhapur,2012,Mercedes-Benz,C-Class,250 CDI,12,Base,Standard
115,2023 Mercedes-Benz C-Class C 220d [2022-2023],5400000.0,3500.0,Diesel,Madhapur,2023,Mercedes-Benz,C-Class,C 220d,1,Base,Standard
116,2023 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],7900000.0,18000.0,Diesel,Madhapur,2023,Mercedes-Benz,GLE,300d 4MATIC LWB,1,LWB,4MATIC
117,2023 Mercedes-Benz AMG C 43 4MATIC,8600000.0,4500.0,Petrol,Madhapur,2023,Mercedes-Benz,AMG,C 43 4MATIC,1,Base,4MATIC
118,2023 Mercedes-Benz AMG GLE Coupe 53 4Matic Plus [2020-2023],14500000.0,4000.0,Petrol,Madhapur,2023,Mercedes-Benz,AMG,GLE Coupe 53 4Matic Plus,1,Base,Standard
119,2022 Mercedes-Benz AMG A45 S 4Matic Plus,8030000.0,3000.0,Petrol,Madhapur,2022,Mercedes-Benz,AMG,A45 S 4Matic Plus,2,Base,Standard
120,2024 Mercedes-Benz C-Class C 300d,5800000.0,3500.0,Diesel,Madhapur,2024,Mercedes-Benz,C-Class,C 300d,0,Base,Standard
121,2024 Mercedes-Benz GLS 450d 4MATIC,12500000.0,9505.0,Diesel,Madhapur,2024,Mercedes-Benz,GLS,450d 4MATIC,0,Base,4MATIC
122,2024 Mercedes-Benz EQA 250 Plus,6100000.0,3500.0,Electric,Madhapur,2024,Mercedes-Benz,EQA,250 Plus,0,Base,Standard
123,2019 Skoda Superb L&K TDI AT,2200000.0,85098.0,Diesel,Jubilee Hills,2019,Skoda,Superb,L&K TDI AT,5,Base,Standard
125,2015 Hyundai Elite i20 Sportz 1.2,550000.0,42365.0,Petrol,Khairatabad H O,2015,Hyundai,Elite,i20 Sportz 1.2,9,Sport,Standard
126,2017 Volvo XC90 D5 Momentum,4000000.0,113674.0,Diesel,Jubilee Hills,2017,Volvo,XC90,D5 Momentum,7,Base,Standard
127,2018 Hyundai Creta SX Plus 1.6 AT CRDI,1250000.0,112229.0,Diesel,Jubilee Hills,2018,Hyundai,Creta,SX Plus 1.6 AT CRDI,6,Base,Standard
128,2018 Hyundai Creta SX Plus 1.6 AT CRDI,1250000.0,112229.0,Diesel,Jubilee Hills,2018,Hyundai,Creta,SX Plus 1.6 AT CRDI,6,Base,Standard
129,2023 Maruti Suzuki Ertiga VXi (O),930000.0,15104.0,Petrol,Jubilee Hills,2023,Maruti,Suzuki,Ertiga VXi (O),1,Base,Standard
131,2020 Mercedes-Benz C-Class C 200 Avantgarde,3900000.0,25543.0,Petrol,Madhapur,2020,Mercedes-Benz,C-Class,C 200 Avantgarde,4,Base,Standard
132,2013 Audi A4 2.0 TDI (143bhp),1600000.0,38380.0,Diesel,Madhapur,2013,Audi,A4,2.0 TDI (143bhp),11,Base,Standard
133,2017 Maruti Suzuki Baleno Zeta 1.2 AT,640000.0,53902.0,Petrol,Khairatabad H O,2017,Maruti,Suzuki,Baleno Zeta 1.2 AT,7,Base,Standard
134,2011 Hyundai i20 Sportz 1.4 CRDI 6 Speed (O),365000.0,98527.0,Diesel,Khairatabad H O,2011,Hyundai,i20,Sportz 1.4 CRDI 6 Speed (O),13,Sport,Standard
135,2021 Maruti Suzuki S-Cross 2020 Alpha,870000.0,40503.0,Petrol,Khairatabad H O,2021,Maruti,Suzuki,S-Cross 2020 Alpha,3,Base,Standard
136,2020 Maruti Suzuki Dzire LXi [2020-2023],640000.0,32610.0,Petrol,Khairatabad H O,2020,Maruti,Suzuki,Dzire LXi,4,Base,Standard
137,2017 Maruti Suzuki Swift Dzire VDI,700000.0,68757.0,Diesel,Madhapur,2017,Maruti,Suzuki,Swift Dzire VDI,7,Base,Standard
138,2013 Mercedes-Benz A-Class A 180 CDI Style,1250000.0,86725.0,Diesel,Madhapur,2013,Mercedes-Benz,A-Class,A 180 CDI Style,11,Base,Standard
139,2016 Tata Indica LS,180000.0,95872.0,Diesel,Khairatabad H O,2016,Tata,Indica,LS,8,Base,Standard
140,2024 Mercedes-Benz GLS 450d 4MATIC,12500000.0,9500.0,Diesel,Madhapur,2024,Mercedes-Benz,GLS,450d 4MATIC,0,Base,4MATIC
141,2024 Mercedes-Benz GLA 220d [2021-2023],5200000.0,3500.0,Diesel,Madhapur,2024,Mercedes-Benz,GLA,220d,0,Base,Standard
142,2021 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],8000000.0,46329.0,Diesel,Jubilee Hills,2021,Mercedes-Benz,GLE,300d 4MATIC LWB,3,LWB,4MATIC
143,2020 Renault Duster RXZ Petrol,665000.0,59179.0,Petrol,Khairatabad H O,2020,Renault,Duster,RXZ Petrol,4,Base,Standard
144,2019 Mercedes-Benz E-Class E 220d Exclusive [2019-2019],5500000.0,50942.0,Diesel,Jubilee Hills,2019,Mercedes-Benz,E-Class,E 220d Exclusive,5,Base,Standard
145,2011 Mercedes-Benz GL 350 CDI BlueEFFICIENCY,2500000.0,79604.0,Diesel,Jubilee Hills,2011,Mercedes-Benz,GL,350 CDI BlueEFFICIENCY,13,Base,Standard
146,2022 Toyota Innova Crysta ZX 2.7 AT 7 STR,2450000.0,30000.0,Petrol,Attapur,2022,Toyota,Innova,Crysta ZX 2.7 AT 7 STR,2,Base,Standard
147,2021 Hyundai Tucson 2WD AT GLS Diesel,2500000.0,79744.0,Diesel,Madhapur,2021,Hyundai,Tucson,2WD AT GLS Diesel,3,Base,Standard
148,2014 Honda Amaze 1.5 S i-DTEC,350000.0,118732.0,Diesel,Khairatabad H O,2014,Honda,Amaze,1.5 S i-DTEC,10,Base,Standard
149,2011 Hyundai i20 Sportz 1.4 CRDI,350000.0,98527.0,Diesel,Khairatabad H O,2011,Hyundai,i20,Sportz 1.4 CRDI,13,Sport,Standard
150,2015 Maruti Suzuki Ritz Lxi BS-IV,355000.0,70348.0,Petrol,Khairatabad H O,2015,Maruti,Suzuki,Ritz Lxi BS-IV,9,Base,Standard
151,2015 Hyundai Grand i10 Sportz (O) U2 1.2 CRDi [2017-2018],360000.0,88816.0,Diesel,Khairatabad H O,2015,Hyundai,Grand,i10 Sportz (O) U2 1.2 CRDi,9,Sport,Standard
152,2011 Hyundai i20 Sportz 1.4 CRDI,350000.0,98527.0,Diesel,Khairatabad H O,2011,Hyundai,i20,Sportz 1.4 CRDI,13,Sport,Standard
153,2021 Mercedes-Benz C-Class C220d Progressive,4950000.0,8000.0,Diesel,Madhapur,2021,Mercedes-Benz,C-Class,C220d Progressive,3,Base,Standard
154,2022 MG ZS EV Exclusive [2020-2021],2250000.0,9945.0,Electric,Jubilee Hills,2022,MG,ZS,EV Exclusive,2,Base,Standard
155,2017 Land Rover Range Rover Velar 2.0 R-Dynamic SE Petrol 250,6500000.0,62000.0,Petrol,Jubilee Hills,2017,Land,Rover,Range Rover Velar 2.0 R-Dynamic SE Petrol 250,7,Base,Standard
156,2023 Hyundai Verna SX (O) 1.5 Petrol IVT,1650000.0,10286.0,Petrol,Jubilee Hills,2023,Hyundai,Verna,SX (O) 1.5 Petrol IVT,1,Base,Standard
157,2011 Maruti Suzuki Wagon R 1.0 LXi,230000.0,95368.0,Petrol,Khairatabad H O,2011,Maruti,Suzuki,Wagon R 1.0 LXi,13,Base,Standard
158,2014 Maruti Suzuki Swift VXi,430000.0,74550.0,Petrol,Khairatabad H O,2014,Maruti,Suzuki,Swift VXi,10,Base,Standard
160,2024 Mercedes-Benz GLA 220d AMG Line 4MATIC [2021-2023],5350000.0,1200.0,Diesel,Rockdale Somajiguda,2024,Mercedes-Benz,GLA,220d AMG Line 4MATIC,0,Base,4MATIC
161,2018 Audi S5 Sportback 3.0 TFSI Quattro,6500000.0,52168.0,Petrol,Jubilee Hills,2018,Audi,S5,Sportback 3.0 TFSI Quattro,6,Sport,Standard
162,2010 Land Rover Range Rover 4.4 V8 SE Diesel,4000000.0,105043.0,Diesel,Jubilee Hills,2010,Land,Rover,Range Rover 4.4 V8 SE Diesel,14,Base,Standard
163,2018 Mercedes-Benz GLS 350 d,6800000.0,67273.0,Diesel,Jubilee Hills,2018,Mercedes-Benz,GLS,350 d,6,Base,Standard
164,2021 BMW X3 xDrive 30i Luxury Line,4699999.0,36000.0,Petrol,Begumpet,2021,BMW,X3,xDrive 30i Luxury Line,3,Luxury,Standard
165,2012 Maruti Suzuki Ertiga VXi,410000.0,40590.0,Petrol,Khairatabad H O,2012,Maruti,Suzuki,Ertiga VXi,12,Base,Standard
166,2015 Maruti Suzuki Swift Dzire LXI,450000.0,109985.0,Petrol,Khairatabad H O,2015,Maruti,Suzuki,Swift Dzire LXI,9,Base,Standard
167,2015 Toyota Innova 2.5 ZX BS IV 7 STR,1020000.0,181000.0,Diesel,Khairatabad H O,2015,Toyota,Innova,2.5 ZX BS IV 7 STR,9,Base,Standard
168,2015 Maruti Suzuki Swift LXi,475000.0,91351.0,Petrol,Khairatabad H O,2015,Maruti,Suzuki,Swift LXi,9,Base,Standard
169,2018 Hyundai Creta SX 1.6 CRDi,1080000.0,74500.0,Diesel,Khairatabad H O,2018,Hyundai,Creta,SX 1.6 CRDi,6,Base,Standard
170,2021 Maruti Suzuki Baleno Zeta 1.2,720000.0,27117.0,Petrol,Khairatabad H O,2021,Maruti,Suzuki,Baleno Zeta 1.2,3,Base,Standard
171,2023 Toyota Vellfire VIP – Executive Lounge,11900000.0,13701.0,Hybrid,Jubilee Hills,2023,Toyota,Vellfire,VIP – Executive Lounge,1,Base,Standard
172,2021 Audi Q5 Technology 45 TFSI,5400000.0,14701.0,Petrol,Jubilee Hills,2021,Audi,Q5,Technology 45 TFSI,3,Base,Standard
173,2024 Mercedes-Benz C-Class C 300d,6400000.0,2500.0,Diesel,Rockdale Somajiguda,2024,Mercedes-Benz,C-Class,C 300d,0,Base,Standard
174,2019 Skoda Rapid Ambition 1.6 MPI AT,825000.0,40907.0,Petrol,Jubilee Hills,2019,Skoda,Rapid,Ambition 1.6 MPI AT,5,Base,Standard
175,2023 Volvo XC40 Recharge Ultimate AWD,4800000.0,31810.0,Electric,Jubilee Hills,2023,Volvo,XC40,Recharge Ultimate AWD,1,Base,Standard
176,2024 Mercedes-Benz C-Class C 300d,6400000.0,2500.0,Diesel,Rockdale Somajiguda,2024,Mercedes-Benz,C-Class,C 300d,0,Base,Standard
177,2021 Kia Sonet HTE 1.2 [2020-2021],800000.0,27102.0,Petrol,Khairatabad H O,2021,Kia,Sonet,HTE 1.2,3,Base,Standard
178,2015 Chevrolet Sail 1.2 LS ABS,280000.0,260000.0,Petrol,Khairatabad H O,2015,Chevrolet,Sail,1.2 LS ABS,9,Base,Standard
