,Title,Price,Kilometers Driven,Fuel Type,Location,Year,Make,Model,Variant,Car Age,Trim Level,Power Indicator
1083,2015 Maruti Suzuki Ritz Zxi BS-IV,372000.0,95368.0,Petrol,Bellavista,2015,Maruti,Suzuki,Ritz Zxi BS-IV,9,Base,Standard
1084,2016 Hyundai Creta 1.6 S Petrol,759000.0,54887.0,Petrol,Bellavista,2016,Hyundai,Creta,1.6 S Petrol,8,Base,Standard
1085,2014 Maruti Suzuki Alto K10 LXi,249000.0,37271.0,Petrol,Beerappagadda,2014,Maruti,Suzuki,Alto K10 LXi,10,Base,Standard
1086,2014 Maruti Suzuki Swift VXi,405000.0,104726.0,Petrol,Jubilee Hills,2014,Maruti,Suzuki,Swift VXi,10,Base,Standard
1087,2018 Ford Freestyle Titanium 1.5 TDCi [2018-2020],592000.0,71020.0,Diesel,Bellavista,2018,Ford,Freestyle,Titanium 1.5 TDCi,6,Base,Standard
1088,2022 Maruti Suzuki Wagon R ZXi 1.2,594000.0,28905.0,Petrol,Jubilee Hills,2022,Maruti,Suzuki,Wagon R ZXi 1.2,2,Base,Standard
1089,2022 Skoda Slavia Style 1.0L TSI MT,1362364.0,25713.0,Petrol,Jntu Kukat Pally,2022,Skoda,Slavia,Style 1.0L TSI MT,2,Base,Standard
1090,2014 Hyundai Santro Xing GLS,325000.0,26083.0,Petrol,Beerappagadda,2014,Hyundai,Santro,Xing GLS,10,Base,Standard
1091,2016 Maruti Suzuki Baleno Alpha 1.2,626000.0,20106.0,Petrol,Bellavista,2016,Maruti,Suzuki,Baleno Alpha 1.2,8,Base,Standard
1092,2016 Maruti Suzuki Baleno Alpha 1.2,627000.0,17099.0,Petrol,Jubilee Hills,2016,Maruti,Suzuki,Baleno Alpha 1.2,8,Base,Standard
1093,2016 Maruti Suzuki Baleno Alpha 1.2,554000.0,94642.0,Petrol,Bellavista,2016,Maruti,Suzuki,Baleno Alpha 1.2,8,Base,Standard
1094,2017 Maruti Suzuki Wagon R 1.0 VXI ABS,425000.0,39428.0,Petrol,Jubilee Hills,2017,Maruti,Suzuki,Wagon R 1.0 VXI ABS,7,Base,Standard
1095,2022 Maruti Suzuki S-Presso VXi Plus,510064.0,14795.0,Petrol,Beerappagadda,2022,Maruti,Suzuki,S-Presso VXi Plus,2,Base,Standard
1096,2013 Maruti Suzuki Wagon R 1.0 Vxi ABS-Airbag,295000.0,101962.0,Petrol,Jubilee Hills,2013,Maruti,Suzuki,Wagon R 1.0 Vxi ABS-Airbag,11,Base,Standard
1097,2017 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],505000.0,41293.0,Petrol,Bellavista,2017,Hyundai,Grand,i10 Sportz 1.2 Kappa VTVT,7,Sport,Standard
1098,2014 Honda City VX,517000.0,113818.0,Petrol,Jubilee Hills,2014,Honda,City,VX,10,Base,Standard
1099,2013 Maruti Suzuki Alto 800 Lxi,229000.0,67994.0,Petrol,Beerappagadda,2013,Maruti,Suzuki,Alto 800 Lxi,11,Base,Standard
1100,2022 Renault Kiger RXT (O) AMT,709000.0,20589.0,Petrol,Jubilee Hills,2022,Renault,Kiger,RXT (O) AMT,2,Base,Standard
1101,2019 Mahindra XUV300 W8 1.5 Diesel [2020],929000.0,58631.0,Diesel,Jntu Kukat Pally,2019,Mahindra,XUV300,W8 1.5 Diesel [2020],5,Base,Standard
1102,2022 Skoda Slavia Style 1.0L TSI MT,1312874.0,25545.0,Petrol,Jntu Kukat Pally,2022,Skoda,Slavia,Style 1.0L TSI MT,2,Base,Standard
1103,2020 Maruti Suzuki Swift ZXi,588000.0,98463.0,Petrol,Bellavista,2020,Maruti,Suzuki,Swift ZXi,4,Base,Standard
1104,2017 Maruti Suzuki Ciaz Zeta 1.4 AT,629000.0,85976.0,Petrol,Beerappagadda,2017,Maruti,Suzuki,Ciaz Zeta 1.4 AT,7,Base,Standard
